clip_id|text|normalized_text
GEN_002_020|Ohwo na de mu odẹ kẹ uchuru ejobi, vwọ kẹ ephran rẹ obenu na, ji te eranvwe rẹ aghwa na, ẹkẹvuọvo vwọ kẹ ekpuyovwi rẹ ohwo na a gbe mrẹ ọchuko ro fori vwọ kẹ-ẹ.|Ohwo na de mu odẹ kẹ uchuru ejobi, vwọ kẹ ephran rẹ obenu na, ji te eranvwe rẹ aghwa na, ẹkẹvuọvo vwọ kẹ ekpuyovwi rẹ ohwo na a gbe mrẹ ọchuko ro fori vwọ kẹ-ẹ.
GEN_002_021|Kọye Ọrovwohwo Ọghẹnẹ da vwẹ ovwerhe rode vwo mu ohwo na, rọ vwọ vwerhẹ re ọ da reyọ ubiedada rọye ode ko di;|Kọye Ọrovwohwo Ọghẹnẹ da vwẹ ovwerhe rode vwo mu ohwo na, rọ vwọ vwerhẹ re ọ da reyọ ubiedada rọye ode ko di;
GEN_002_022|ubiedada rẹ Ọrovwohwo Ọghẹnẹ reyọre nẹ oma rẹ ọshare rhe na o da vwọ ma aye ọ da reyọ vwọ kẹ ọshare na.|ubiedada rẹ Ọrovwohwo Ọghẹnẹ reyọre nẹ oma rẹ ọshare rhe na o da vwọ ma aye ọ da reyọ vwọ kẹ ọshare na.
GEN_002_023|Etiyin ọshare na da ta, Ọnana ubeku mẹ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Aye, fikiridie oma rẹ ọshare esiro nurhe.|Etiyin ọshare na da ta, Ọnana ubeku mẹ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Aye, fikiridie oma rẹ ọshare esiro nurhe.
GEN_002_024|Fiki rẹ ọtiọye na ọshare vwọ yan jẹn ọsẹ rọye vẹ oni rọye vwo kọ rhe gbanọ aye rọye, ayen ke dia oma ọvo.|Fiki rẹ ọtiọye na ọshare vwọ yan jẹn ọsẹ rọye vẹ oni rọye vwo kọ rhe gbanọ aye rọye, ayen ke dia oma ọvo.
GEN_002_025|Te ọshare na ve aye rọye da ban phihọ, yẹ oma vo aye-en.|Te ọshare na ve aye rọye da ban phihọ, yẹ oma vo aye-en.
GEN_006_003|Etiyin Ọrovwohwo da ta, Erhi Me sa dia evun rẹ ohwo bẹdẹ-ẹ, fikiridie uvwo oruẹ, ẹkẹvuọvo ẹdẹ rẹ akpọ rọye kẹ ikpe ujosa kọye ọ dia.|Etiyin Ọrovwohwo da ta, Erhi Me sa dia evun rẹ ohwo bẹdẹ-ẹ, fikiridie uvwo oruẹ, ẹkẹvuọvo ẹdẹ rẹ akpọ rọye kẹ ikpe ujosa kọye ọ dia.
GEN_006_004|Yi Nẹfilim evun rẹ akpọ vwẹ ọke yena, kọye vwẹ ukuko rọye re, rẹ emọ rẹ Ọghẹnẹ vwo bru emetẹ rẹ ihwo rẹ akpọ rhire, i de vwiẹ emọ kẹ ayen. Enana kẹ eye egba rẹ awanre, ri kperi usi.|Yi Nẹfilim evun rẹ akpọ vwẹ ọke yena, kọye vwẹ ukuko rọye re, rẹ emọ rẹ Ọghẹnẹ vwo bru emetẹ rẹ ihwo rẹ akpọ rhire, i de vwiẹ emọ kẹ ayen. Enana kẹ eye egba rẹ awanre, ri kperi usi.
GEN_006_009|Enana ke ye orua ri Noa. Noa kẹ ọvwata oruẹ, o vwo eka vwẹ orua rọye na-a; Noa da yan kpahọ Ọghẹnẹ.|Enana ke ye orua ri Noa. Noa kẹ ọvwata oruẹ, o vwo eka vwẹ orua rọye na-a; Noa da yan kpahọ Ọghẹnẹ.
GEN_006_010|Noa de vwo emeshare erha, Shẹm, Ham kugbe Jafet.|Noa de vwo emeshare erha, Shẹm, Ham kugbe Jafet.
GEN_006_011|Akpọ na de rhi gbeku vwẹ obaro rẹ Ọghẹnẹ, akpọ na ke je vọn vẹ ozighi.|Akpọ na de rhi gbeku vwẹ obaro rẹ Ọghẹnẹ, akpọ na ke je vọn vẹ ozighi.
GEN_006_012|Ọghẹnẹ da mrẹ akpọ na, nighe, o de gbeku; fikiridie uvwo ejobi gbeku tughu vwẹ enu rẹ akpọ na.|Ọghẹnẹ da mrẹ akpọ na, nighe, o de gbeku; fikiridie uvwo ejobi gbeku tughu vwẹ enu rẹ akpọ na.
GEN_006_013|Ọghẹnẹ da ta ki Noa, Me guọnọre ne Me guọghọ emu ejobi nẹ akpọ na, kidie akpọ na vọnre vẹ ozighi fiki rẹ ayen, nighe, Me guọghọ ayen vẹ akpọ na.|Ọghẹnẹ da ta ki Noa, Me guọnọre ne Me guọghọ emu ejobi nẹ akpọ na, kidie akpọ na vọnre vẹ ozighi fiki rẹ ayen, nighe, Me guọghọ ayen vẹ akpọ na.
GEN_006_014|Gba vwẹ urhe ri gofa kare okọ, kare ivun phihọ okọ na, wọ nabọ pharọ te obevun te otafe vẹ orhọrhe.|Gba vwẹ urhe ri gofa kare okọ, kare ivun phihọ okọ na, wọ nabọ pharọ te obevun te otafe vẹ orhọrhe.
GEN_006_015|Ọtiọna kọye wo ruo: ugrogro rẹ okọ na kubit uri gbẹ ujori, ohẹhẹre rọye kubit ujuvẹ gbẹ ihwe, ekodo rọye kubit ọgban.|Ọtiọna kọye wo ruo: ugrogro rẹ okọ na kubit uri gbẹ ujori, ohẹhẹre rọye kubit ujuvẹ gbẹ ihwe, ekodo rọye kubit ọgban.
GEN_006_016|Bọ uwevwi phihọ enu rẹ okọ na, re okpenu te kubit ọvo; re wo phi ẹchẹ phihọ okọkọ rọye, gba agbada erha phihọ, ọvo obenu, ọvo uherevie, ọvo obotọ.|Bọ uwevwi phihọ enu rẹ okọ na, re okpenu te kubit ọvo; re wo phi ẹchẹ phihọ okọkọ rọye, gba agbada erha phihọ, ọvo obenu, ọvo uherevie, ọvo obotọ.
GEN_006_018|Ẹkẹvuọvo ke Me vẹ owẹ re ọphọ; ko wọ cha ro evun rẹ okọ na, te owẹ te emọ wẹn, aye wẹn te eya rẹ emọ wẹn.|Ẹkẹvuọvo ke Me vẹ owẹ re ọphọ; ko wọ cha ro evun rẹ okọ na, te owẹ te emọ wẹn, aye wẹn te eya rẹ emọ wẹn.
GEN_006_019|Kugbe emu kemu ejobi ri vwo ẹnwẹn vwẹ akpọ na, ku wọ reyọ ayen ivivẹ, dohwo doghẹre rọye phihọ evun rẹ okọ na, rere ayen vẹ owẹ vwọ sa rhọ, ke dia aye gbe ọshare.|Kugbe emu kemu ejobi ri vwo ẹnwẹn vwẹ akpọ na, ku wọ reyọ ayen ivivẹ, dohwo doghẹre rọye phihọ evun rẹ okọ na, rere ayen vẹ owẹ vwọ sa rhọ, ke dia aye gbe ọshare.
GEN_006_020|Ọphra, dọphra doghẹre rọye, eranvwe, deranvwe doka rọye, obo ri kpono vwẹ otọ na doka rọye, ivẹ oghẹre ọvo eye ri che bru we rhe, re wọ mrasa sivwi ayen rhọ.|Ọphra, dọphra doghẹre rọye, eranvwe, deranvwe doka rọye, obo ri kpono vwẹ otọ na doka rọye, ivẹ oghẹre ọvo eye ri che bru we rhe, re wọ mrasa sivwi ayen rhọ.
GEN_006_021|Je reyọ obo rẹ unu ria demu doka rọye, ghwẹ ayen koko wọ nabọ sẹro rayen; kọ dia emu kẹ wẹ vẹ ayen.|Je reyọ obo rẹ unu ria demu doka rọye, ghwẹ ayen koko wọ nabọ sẹro rayen; kọ dia emu kẹ wẹ vẹ ayen.
GEN_006_022|Noa de ru ọna; o de ru emu ejobi rẹ Ọghẹnẹ dje kẹ nẹ o ru.|Noa de ru ọna; o de ru emu ejobi rẹ Ọghẹnẹ dje kẹ nẹ o ru.
GEN_007_001|Etiyin Ọrovwohwo da ta kẹ Noa, Gba ro evun rẹ okọ na, wẹ kugbe evwruwevwi wẹn ejobi, fikiridie Me mrere nẹ wẹ ọvwata vwẹ obaro mẹ vwẹ evun rẹ uvwiẹ nana.|Etiyin Ọrovwohwo da ta kẹ Noa, Gba ro evun rẹ okọ na, wẹ kugbe evwruwevwi wẹn ejobi, fikiridie Me mrere nẹ wẹ ọvwata vwẹ obaro mẹ vwẹ evun rẹ uvwiẹ nana.
GEN_007_002|Gba reyọ oka rẹ eranvwe ighwrẹ ivivẹ ri tete oma, ọ rẹ ọshare vẹ ọ rẹ aye kugbe eranvwe ivivẹ ri gbe oma, ọ rẹ ọshare vẹ aye rọye;|Gba reyọ oka rẹ eranvwe ighwrẹ ivivẹ ri tete oma, ọ rẹ ọshare vẹ ọ rẹ aye kugbe eranvwe ivivẹ ri gbe oma, ọ rẹ ọshare vẹ aye rọye;
GEN_007_003|kugbe oka rẹ ephra ri obenu na ighwrẹ ivivẹ rhe, ọshare vẹ aye, rere ayen vwo jẹ ghwọrọ kakare nẹ enu rẹ akpọ na.|kugbe oka rẹ ephra ri obenu na ighwrẹ ivivẹ rhe, ọshare vẹ aye, rere ayen vwo jẹ ghwọrọ kakare nẹ enu rẹ akpọ na.
GEN_007_004|Kidie ẹdẹ ighwrẹ chekọ, re Me cha vwọ vwẹ osio rhe akpọ na uvo ujuvẹ kugbe ason ujuvẹ, emu kemu ro vwo ẹnwẹn re Me mare na ejobi ki mi phoro kakare nẹ enu rẹ otọ na.|Kidie ẹdẹ ighwrẹ chekọ, re Me cha vwọ vwẹ osio rhe akpọ na uvo ujuvẹ kugbe ason ujuvẹ, emu kemu ro vwo ẹnwẹn re Me mare na ejobi ki mi phoro kakare nẹ enu rẹ otọ na.
GEN_007_005|Noa de ru emu ejobi rẹ Ọrovwohwo dje kẹ na.|Noa de ru emu ejobi rẹ Ọrovwohwo dje kẹ na.
GEN_007_006|Noa da dia ikpe uri erha ọghwo te vwẹ ọke rẹ oghwe na vwo ku akpọ na.|Noa da dia ikpe uri erha ọghwo te vwẹ ọke rẹ oghwe na vwo ku akpọ na.
GEN_007_007|Te Noa vẹ emọ rọye vẹ aye rọye te eya rẹ emọ rọye vẹ ọye da ro evun rẹ okọ na, rẹ ayen vwo nẹ ughwu rẹ ame na.|Te Noa vẹ emọ rọye vẹ aye rọye te eya rẹ emọ rọye vẹ ọye da ro evun rẹ okọ na, rẹ ayen vwo nẹ ughwu rẹ ame na.
GEN_007_008|Eranvwe ri tete oma, kugbe iri gbe oma, te ephra, te obo ri kpono vwẹ otọ na,|Eranvwe ri tete oma, kugbe iri gbe oma, te ephra, te obo ri kpono vwẹ otọ na,
GEN_007_009|ivivẹ ọshare kugbe aye, vẹ Noa da ro evun rẹ okọ na, kirobo rẹ Ọghẹnẹ dje kẹ Noa.|ivivẹ ọshare kugbe aye, vẹ Noa da ro evun rẹ okọ na, kirobo rẹ Ọghẹnẹ dje kẹ Noa.
GEN_007_010|Ẹdẹ ighwrẹ vwọ wan nu oghwe na de rhi ku akpọ na.|Ẹdẹ ighwrẹ vwọ wan nu oghwe na de rhi ku akpọ na.
GEN_007_011|Vwẹ ikpe uri erha rẹ akpọ ri Noa, vwẹ emeranvwe rivẹ, vwẹ ẹdẹ ihwe gbẹ ighwrẹ rẹ emeranvwe na, vwẹ ẹdẹ vuọvo yena, ogbugbu kugbe ikokodo rẹ akpọ na da va phia, evakpo rẹ obo odjuvwu na de rhie phihọ.|Vwẹ ikpe uri erha rẹ akpọ ri Noa, vwẹ emeranvwe rivẹ, vwẹ ẹdẹ ihwe gbẹ ighwrẹ rẹ emeranvwe na, vwẹ ẹdẹ vuọvo yena, ogbugbu kugbe ikokodo rẹ akpọ na da va phia, evakpo rẹ obo odjuvwu na de rhie phihọ.
GEN_007_012|Osio da rhọ phihọ akpọ uvo ujuvẹ kugbe ason ujuvẹ.|Osio da rhọ phihọ akpọ uvo ujuvẹ kugbe ason ujuvẹ.
GEN_007_013|Vwẹ ẹdẹ ọvuọvo na Noa vẹ emọ rọye, Shẹm vi Ham kugbe Jafẹt, aye ri Noa vẹ eya erha rẹ emọ rọye ejobi da ro evun rẹ okọ,|Vwẹ ẹdẹ ọvuọvo na Noa vẹ emọ rọye, Shẹm vi Ham kugbe Jafẹt, aye ri Noa vẹ eya erha rẹ emọ rọye ejobi da ro evun rẹ okọ,
GEN_007_014|te ayen kugbe eranvwe keranvwe, deranvwe doka, te uchuru duchuru doka rọye, dọphra doka rọye.|te ayen kugbe eranvwe keranvwe, deranvwe doka, te uchuru duchuru doka rọye, dọphra doka rọye.
GEN_007_016|Ayen da ruọ, ọshare vẹ aye rẹ emama na ejobi, kirobo rẹ Ọghẹnẹ dje kẹ, Ọrovwohwo de huho gbe.|Ayen da ruọ, ọshare vẹ aye rẹ emama na ejobi, kirobo rẹ Ọghẹnẹ dje kẹ, Ọrovwohwo de huho gbe.
GEN_007_017|Oghwe na de ku ẹdẹ ujuvẹ vwẹ enu rẹ akpọ na, ame na de bu phihọ, o de mu okọ na kpenu, ọ da kpare kpenu phenephene.|Oghwe na de ku ẹdẹ ujuvẹ vwẹ enu rẹ akpọ na, ame na de bu phihọ, o de mu okọ na kpenu, ọ da kpare kpenu phenephene.
GEN_007_019|Ame na de rhi bu gangan o de rhi reghe igbenu ride ejobi ri otọ rẹ akpọ na,|Ame na de rhi bu gangan o de rhi reghe igbenu ride ejobi ri otọ rẹ akpọ na,
GEN_007_020|ame na vwo reghe igbenu na nu, ọ ke rha je kpare kubit ihwiori.|ame na vwo reghe igbenu na nu, ọ ke rha je kpare kubit ihwiori.
GEN_007_022|kemu kemu rọ otọ ọyaya na rọ vwẹ unwe nwẹn ejobi de ghwure.|kemu kemu rọ otọ ọyaya na rọ vwẹ unwe nwẹn ejobi de ghwure.
GEN_007_023|O de phoro kemu kemu ejobi ro vwo arhọ re yan vwẹ enu rẹ otọ na no, ohwo, eranvwe, obo ri kpono, ephra rẹ enu; e de phoro ayen nẹ akpọ na, Noa ọvo kọye ri chekọ, kugbe ihwo re vẹ ọye gba herọ vwẹ evun rẹ oko na.|O de phoro kemu kemu ejobi ro vwo arhọ re yan vwẹ enu rẹ otọ na no, ohwo, eranvwe, obo ri kpono, ephra rẹ enu; e de phoro ayen nẹ akpọ na, Noa ọvo kọye ri chekọ, kugbe ihwo re vẹ ọye gba herọ vwẹ evun rẹ oko na.
GEN_007_024|Ame na de reghe akpọ na ẹdẹ ujuvẹ gbẹ ihwe.|Ame na de reghe akpọ na ẹdẹ ujuvẹ gbẹ ihwe.
GEN_008_001|Ẹkẹvuọvo Ọghẹnẹ da rhe karohọ Noa vẹ eranvwe rẹ aghwa na ejobi kugbe uchuru ejobi re vẹ ọye gba ro evun rẹ okọ na Ọghẹnẹ da vwẹ odju rhe nẹ o gbe dju enu rẹ akpọ na, ame na de rhi rhirẹn,|Ẹkẹvuọvo Ọghẹnẹ da rhe karohọ Noa vẹ eranvwe rẹ aghwa na ejobi kugbe uchuru ejobi re vẹ ọye gba ro evun rẹ okọ na Ọghẹnẹ da vwẹ odju rhe nẹ o gbe dju enu rẹ akpọ na, ame na de rhi rhirẹn,
GEN_008_003|ame na de si reyọ kọke kọke. Vwẹ oba rẹ ẹdẹ ujori gbẹ ujuvẹ gbẹ ihwe re, ame na da rhe kpọ;|ame na de si reyọ kọke kọke. Vwẹ oba rẹ ẹdẹ ujori gbẹ ujuvẹ gbẹ ihwe re, ame na da rhe kpọ;
GEN_008_005|Ame na kẹ ẹkpọ ẹkpọ bẹsiẹ ro rhi vwo te emeranvwe rẹ ihwe vwẹ ẹdẹ rẹ ẹsosuọ rẹ emeranvwe na, enu rẹ igbenu na ejobi da rhe kpọ phia.|Ame na kẹ ẹkpọ ẹkpọ bẹsiẹ ro rhi vwo te emeranvwe rẹ ihwe vwẹ ẹdẹ rẹ ẹsosuọ rẹ emeranvwe na, enu rẹ igbenu na ejobi da rhe kpọ phia.
GEN_008_006|Vwẹ ẹdẹ ujuvẹ vwọ wan nu Noa de rhie evakpo rẹ okọ na rọ kare na,|Vwẹ ẹdẹ ujuvẹ vwọ wan nu Noa de rhie evakpo rẹ okọ na rọ kare na,
GEN_008_007|o de siobọ nẹ okpemu, o da rha kpenẹ kpenẹ bẹsiẹ rẹ ame na rhe vwọ kpọ nẹ akpọ na.|o de siobọ nẹ okpemu, o da rha kpenẹ kpenẹ bẹsiẹ rẹ ame na rhe vwọ kpọ nẹ akpọ na.
GEN_008_008|Ọ da rhoma siobọ nẹ inekuku ro re ni sẹ ame na kpọ nẹ otọ na re;|Ọ da rhoma siobọ nẹ inekuku ro re ni sẹ ame na kpọ nẹ otọ na re;
GEN_008_013|Vwẹ evun rẹ ikpe uri erha gbẹ ọvo, vwẹ emeranvwe rẹ ẹsosuọ, ẹdẹ rẹ ẹsosuọ rẹ emeranvwe na, ame na da kpọ nẹ otọ na kakare; Noa da fan uwevwi rẹ okọ na nu, o vwo ni, nighe, enu rẹ otọ na ejobi kpọre.|Vwẹ evun rẹ ikpe uri erha gbẹ ọvo, vwẹ emeranvwe rẹ ẹsosuọ, ẹdẹ rẹ ẹsosuọ rẹ emeranvwe na, ame na da kpọ nẹ otọ na kakare; Noa da fan uwevwi rẹ okọ na nu, o vwo ni, nighe, enu rẹ otọ na ejobi kpọre.
GEN_008_015|Ọghẹnẹ da ta ki Noa,|Ọghẹnẹ da ta ki Noa,
GEN_008_016|Gba yan phia nẹ evun rẹ okọ na, wẹ te aye wẹn, vẹ emọ wẹn te eya rẹ emọ wẹn|Gba yan phia nẹ evun rẹ okọ na, wẹ te aye wẹn, vẹ emọ wẹn te eya rẹ emọ wẹn
GEN_008_019|Keranvwe keranvwe, kemu kemu ro kpono, kọphra kọphra, kemu kemu ro yan vwẹ akpọ na, e da yan otuotu nẹ evun rẹ okọ na rhe.|Keranvwe keranvwe, kemu kemu ro kpono, kọphra kọphra, kemu kemu ro yan vwẹ akpọ na, e da yan otuotu nẹ evun rẹ okọ na rhe.
GEN_008_020|Noa da so agbada kẹ Ọrovwohwo, ọ da reyọ eranvwe keranvwe ro tete oma, kugbe kọphra kọphra ro tete oma, o de ze izobo rẹ ẹtorhẹ vwẹ enu rẹ agbada na.|Noa da so agbada kẹ Ọrovwohwo, ọ da reyọ eranvwe keranvwe ro tete oma, kugbe kọphra kọphra ro tete oma, o de ze izobo rẹ ẹtorhẹ vwẹ enu rẹ agbada na.
GEN_008_022|Ọke rẹ akpọ na dia krite na, ọke ekankọn kugbe ọke orhọ ekpae kugbe oheri, ọkeuvo kugbe ohwahwa, uvo kugbe ason se re bẹdẹ-ẹ.|Ọke rẹ akpọ na dia krite na, ọke ekankọn kugbe ọke orhọ ekpae kugbe oheri, ọkeuvo kugbe ohwahwa, uvo kugbe ason se re bẹdẹ-ẹ.
GEN_009_002|Oshọ wẹn kugbe udidi wẹn ko mu eranvwe keranvwe rẹ akpọ na, ji te ọphra kọphra rọ obenu na, emu kemu ejobi ro kpono vwẹ otọ na kugbe erin rẹ ame; mi phi ayen ejobi phihọ obọ wẹn,|Oshọ wẹn kugbe udidi wẹn ko mu eranvwe keranvwe rẹ akpọ na, ji te ọphra kọphra rọ obenu na, emu kemu ejobi ro kpono vwẹ otọ na kugbe erin rẹ ame; mi phi ayen ejobi phihọ obọ wẹn,
GEN_009_003|emu kemu ejobi rọ yan ro vwo arhọ kọ dia emuọre kẹ wẹ, kirobo Me vwẹ ifọn kẹ wẹ na, Me je kẹ wẹ emu ejobi.|emu kemu ejobi rọ yan ro vwo arhọ kọ dia emuọre kẹ wẹ, kirobo Me vwẹ ifọn kẹ wẹ na, Me je kẹ wẹ emu ejobi.
GEN_009_004|Ẹkẹvuọvo wọ ria uvwo vẹ arhọ rọye-e, kọye ọbara rọye.|Ẹkẹvuọvo wọ ria uvwo vẹ arhọ rọye-e, kọye ọbara rọye.
GEN_009_006|Ohwo ro sun ọbara rẹ ohwo te otọ, ohwo ọfa ji sun ọbara rọye te otọ, kidie Ọghẹnẹ ma ohwo vwẹ uhoho rọye.|Ohwo ro sun ọbara rẹ ohwo te otọ, ohwo ọfa ji sun ọbara rọye te otọ, kidie Ọghẹnẹ ma ohwo vwẹ uhoho rọye.
GEN_009_007|Vwọ kẹ ovwan, we vwiẹ ri we bu phihọ, we vwiẹ buebu vwẹ akpọ na ru we bu phihọ.|Vwọ kẹ ovwan, we vwiẹ ri we bu phihọ, we vwiẹ buebu vwẹ akpọ na ru we bu phihọ.
GEN_009_008|Etiyin Ọghẹnẹ da ta kẹ Noa vẹ emọ rọye,|Etiyin Ọghẹnẹ da ta kẹ Noa vẹ emọ rọye,
GEN_009_009|Nighe, ke Me vẹ owẹ cha re ọphọ kugbe uvwiẹ wẹn rọ cha vwẹ obuko wẹn,|Nighe, ke Me vẹ owẹ cha re ọphọ kugbe uvwiẹ wẹn rọ cha vwẹ obuko wẹn,
GEN_009_010|kugbe eranvwe keranvwe ekpokpọ re vẹ owẹ gba herọ, uche ri nene uwe nẹ evun rẹ okọ na rhe.|kugbe eranvwe keranvwe ekpokpọ re vẹ owẹ gba herọ, uche ri nene uwe nẹ evun rẹ okọ na rhe.
GEN_009_011|Me vẹ owẹ ke re ọphọ, ne Me gbe cha vwẹ ame rẹ oghwe vwo hwe uvwo ejobi ọfa eyẹ vwọ vwẹ oghwe vwọ ghwọrọ akpọ na ọfa-a.|Me vẹ owẹ ke re ọphọ, ne Me gbe cha vwẹ ame rẹ oghwe vwo hwe uvwo ejobi ọfa eyẹ vwọ vwẹ oghwe vwọ ghwọrọ akpọ na ọfa-a.
GEN_009_012|Ọghẹnẹ da ta, Ọnana kọ cha dia oka rọ ọphọ na re Me vẹ owẹ kugbe eranvwe keranvwe rọ herọ re Me mare na cha re, kugbe uvwiẹ rọ cha vwẹ obaro wẹ;|Ọghẹnẹ da ta, Ọnana kọ cha dia oka rọ ọphọ na re Me vẹ owẹ kugbe eranvwe keranvwe rọ herọ re Me mare na cha re, kugbe uvwiẹ rọ cha vwẹ obaro wẹ;
GEN_009_015|ke Me karohọ ọphọ rọ herọ vwẹ uvwre mẹ vẹ owẹ kugbe eranvwe keranvwe rọ herọ re Me mare ejobi, ame na gbi che hirhe oma phihọ oghwe rọ ghwọrọ ohwo ọfa-a.|ke Me karohọ ọphọ rọ herọ vwẹ uvwre mẹ vẹ owẹ kugbe eranvwe keranvwe rọ herọ re Me mare ejobi, ame na gbi che hirhe oma phihọ oghwe rọ ghwọrọ ohwo ọfa-a.
GEN_009_016|Ọke rẹ aphoro na da obenu, ki mi no ke Me karohọ ọphọ ri bẹdẹ rọ uvwre rẹ Ọghẹnẹ kugbe eranvwe keranvwe ekpokpọ rọ herọ re Me mare vwẹ akpọ na.|Ọke rẹ aphoro na da obenu, ki mi no ke Me karohọ ọphọ ri bẹdẹ rọ uvwre rẹ Ọghẹnẹ kugbe eranvwe keranvwe ekpokpọ rọ herọ re Me mare vwẹ akpọ na.
GEN_009_017|Ọghẹnẹ da ta ki Noa, Ọnana kẹ oka rẹ ọphọ na ri mi vwo mu vwẹ uvwre mẹ kugbe uvwo ejobi rọ enu rẹ akpọ na.|Ọghẹnẹ da ta ki Noa, Ọnana kẹ oka rẹ ọphọ na ri mi vwo mu vwẹ uvwre mẹ kugbe uvwo ejobi rọ enu rẹ akpọ na.
GEN_009_019|Enana erha na keye emọ ri Noa; enana erha na keye ri vwiẹ akpọ na soso.|Enana erha na keye emọ ri Noa; enana erha na keye ri vwiẹ akpọ na soso.
GEN_009_020|Noa kọye ọghwẹrẹ rẹ ẹsosuọ rọ tu voro otọ na. Ọ da kọn ogba ri vain,|Noa kọye ọghwẹrẹ rẹ ẹsosuọ rọ tu voro otọ na. Ọ da kọn ogba ri vain,
GEN_009_021|ọ da da udi ri vain na, udi de muo, o de shevwerhẹ otọ rẹ utughẹ rọye vẹ ẹbẹba.|ọ da da udi ri vain na, udi de muo, o de shevwerhẹ otọ rẹ utughẹ rọye vẹ ẹbẹba.
GEN_009_022|Ham, rẹ ọsẹ ri Kenan, da mrẹ ẹba rẹ ọsẹ rọye, o de rhi gbe ikun kẹ iniọvo rọye vwẹ otafe.|Ham, rẹ ọsẹ ri Kenan, da mrẹ ẹba rẹ ọsẹ rọye, o de rhi gbe ikun kẹ iniọvo rọye vwẹ otafe.
